period,check_item,difference,status
2025-01,BS balance,0,PASS
2025-01,Cash bridge,0,PASS
2025-02,BS balance,0,PASS
2025-02,Cash bridge,0,PASS
2025-03,BS balance,0,PASS
2025-03,Cash bridge,0,PASS
2025-04,BS balance,0,PASS
2025-04,Cash bridge,0,PASS
2025-05,BS balance,0,PASS
2025-05,Cash bridge,0,PASS
2025-06,BS balance,0,PASS
2025-06,Cash bridge,0,PASS
2025-07,BS balance,0,PASS
2025-07,Cash bridge,0,PASS
2025-08,BS balance,0,PASS
2025-08,Cash bridge,0,PASS
2025-09,BS balance,0,PASS
2025-09,Cash bridge,0,PASS
2025-10,BS balance,0,PASS
2025-10,Cash bridge,0,PASS
2025-11,BS balance,0,PASS
2025-11,Cash bridge,0,PASS
2025-12,BS balance,0,PASS
2025-12,Cash bridge,0,PASS
2026-01,BS balance,0,PASS
2026-01,Cash bridge,0,PASS
2026-02,BS balance,0,PASS
2026-02,Cash bridge,0,PASS
2026-03,BS balance,0,PASS
2026-03,Cash bridge,0,PASS
2026-04,BS balance,0,PASS
2026-04,Cash bridge,0,PASS
2026-05,BS balance,0,PASS
2026-05,Cash bridge,0,PASS
