source_name,source_url,evidence_type,key_fact,usable_for,not_usable_for,credibility,notes
Gartner Peer Insights ABI definition,https://www.gartner.com/reviews/market/analytics-business-intelligence-platforms,category_definition,"ABI platforms model, analyze and visualize data to support decision making and value creation","Define competitive category and buyer expectations","Market sizing or pricing",high,"Useful to frame category, not to estimate SOM"
Grand View Research BI Software,https://www.grandviewresearch.com/industry-analysis/business-intelligence-software-market,market_size,"Global BI software market estimated USD 40.13B in 2025 and projected USD 81.45B by 2033","Calibrate broad BI market ceiling","Company SAM/SOM",medium,"Global broad category, not manufacturing-specific"
Grand View Research AI Manufacturing,https://www.grandviewresearch.com/industry-analysis/artificial-intelligence-in-manufacturing-market,market_growth,"AI in manufacturing estimated USD 7.09B in 2025 and USD 47.88B by 2030, CAGR 46.5%","Support manufacturing AI growth trend","Direct revenue forecast",medium,"High-growth signal but vendor/category boundary differs"
IoT Analytics Industrial AI,https://iot-analytics.com/industrial-ai-market-insights-how-ai-is-transforming-manufacturing/,market_growth,"Industrial AI market reached USD 43.6B in 2024 and forecast USD 153.9B by 2030 at 23% CAGR","Cross-check manufacturing/industrial AI opportunity","Company SOM",medium,"Different scope than BI and AI manufacturing reports"
Deloitte 2026 Manufacturing Outlook,https://www.deloitte.com/us/en/insights/industry/manufacturing-industrial-products/manufacturing-industry-outlook.html,customer_budget,"Deloitte says 80% of surveyed manufacturing executives plan to invest 20% or more of improvement budgets in smart manufacturing initiatives","Support budget intent and smart manufacturing priority","Specific product demand or conversion",high,"Good demand-side budget signal"
Deloitte 2025 Smart Manufacturing Survey,https://www.deloitte.com/us/en/insights/industry/manufacturing/2025-smart-manufacturing-survey.html,customer_pain,"Survey of 600 executives focuses on smart factories, transformation complexity, operational risk and talent obstacles","Identify buyer pain and adoption barriers","Pricing or SOM",high,"Useful for risk and buyer objections"
McKinsey Manufacturing AI,https://www.mckinsey.com/capabilities/operations/our-insights/from-pilots-to-performance-how-coos-can-scale-ai-in-manufacturing,adoption_risk,"Manufacturing COOs have high hopes and budgets for AI, but may underinvest in enablers needed for lasting value","Support pilot-to-scale risk and need for enablers","Product demand quantification",high,"Important caution against hype"
OpenAI State of Enterprise AI 2025,https://openai.com/business/guides-and-resources/the-state-of-enterprise-ai-2025-report/,adoption_trend,"Report uses enterprise usage data and survey data to describe AI adoption and data analysis use cases","Support enterprise AI usage trend","Manufacturing-specific market sizing",high,"Useful broad adoption signal"
Microsoft Power BI pricing,https://www.microsoft.com/en-us/power-platform/products/power-bi/pricing,competitor_pricing,"Power BI Pro listed at USD 14/user/month and Premium Per User at USD 24/user/month, paid yearly","Benchmark low-cost incumbent pricing","Total enterprise implementation cost",high,"Official pricing"
Tableau pricing,https://www.tableau.com/pricing,competitor_pricing,"Tableau Standard Viewer USD 15, Explorer USD 42, Creator USD 75 per user/month billed annually; Enterprise tiers higher","Benchmark premium BI pricing","Discounted enterprise contracts",high,"Official pricing"
Qlik pricing,https://www.qlik.com/us/pricing,competitor_pricing,"Qlik Cloud Analytics Standard listed starting at USD 825/month for 25GB, billed annually","Benchmark capacity-based BI pricing","Actual negotiated price",high,"Official pricing"
ThoughtSpot Gartner Peer Insights,https://www.gartner.com/reviews/market/analytics-business-intelligence-platforms/compare/microsoft-vs-thoughtspot,competitor_signal,"Gartner Peer Insights comparison shows ThoughtSpot and Microsoft as reviewed ABI vendors","Identify search/NLQ analytics alternative","Pricing or market share",medium,"Review site signal, not pricing"

